start_time,robot_id,action,gps_difference,orientation_difference,lidar_difference,radar_difference,thermometer_difference,cardinality_base_distance,action_successful,memory_similarity
1,12,0,1,0,5.0,5.0,0.8286179999999987,,1,0.8835858585858586
1,0,0,0,0,2.0,2.0,0.50882,,1,0.9433333333333334
1,17,7,2,0,,,0.09256000000000597,18.5,1,0.9477777777777778
1,21,7,0,0,4.0,4.0,1.6724439999999987,11.666666666666666,1,1.0
1,11,0,1,0,4.0,4.0,0.02395400000000336,,1,0.7902287581699347
1,26,0,1,0,7.0,6.0,0.6491020000000063,,1,0.8622222222222222
1,20,0,1,0,,,0.01033999999999935,,1,0.8855555555555555
1,1,0,0,0,4.0,3.0,0.7932199999999909,,1,0.9744444444444444
1,8,0,1,0,2.0,2.0,0.027619999999998868,,1,0.7268803418803419
1,10,3,0,0,1.0,2.0,0.13487499999999386,,1,0.9369444444444445
1,14,0,0,0,4.0,4.0,0.34473099999999945,,1,0.98331541218638
1,2,7,1,0,3.0,3.0,0.01206599999999014,32.0,1,0.8855555555555555
1,5,0,0,0,5.0,5.0,0.2901929999999986,,1,0.9331159420289855
1,3,0,0,0,4.0,4.0,0.09538500000000738,,1,0.9177777777777778
1,15,2,1,0,1.0,2.0,0.37897900000000107,,1,0.6966666666666668
1,24,0,0,0,3.0,3.0,0.09234499999999457,,1,0.9794444444444445
2,16,0,2,0,5.0,5.0,0.3078000000000003,,1,0.8030330330330331
2,18,0,0,0,,,3.1045759999999945,,1,0.980925925925926
2,3,0,0,0,3.0,3.0,0.34293199999999757,,1,0.9499462365591398
2,15,0,1,0,3.0,3.0,0.4839400000000005,,1,0.6973232323232323
2,28,0,0,0,2.0,2.0,0.1373439999999988,,0,0.9577927927927928
2,7,0,0,0,2.0,2.0,0.3568819999999988,,1,0.9542156862745098
2,22,7,4,0,2.0,2.0,1.2429449999999918,6.75,1,0.8816439909297052
2,5,0,3,0,4.0,4.0,0.01660000000001105,,1,0.9057575757575758
2,0,2,0,0,1.0,1.0,0.16102999999999668,,1,0.9716666666666667
2,9,0,0,0,,,0.010159999999999059,,1,0.9851587301587301
2,4,0,1,0,2.0,2.0,0.16610000000000014,,1,0.9376984126984127
2,14,0,1,0,3.0,3.0,0.19396000000000058,,1,0.9451461988304094
2,12,0,0,0,4.0,4.0,5.999999999062311e-06,,1,0.8966666666666666
2,1,0,0,0,3.0,3.0,0.20478400000000363,,1,0.9744444444444444
2,17,7,1,0,,,0.1734000000000009,18.5,1,0.9626190476190476
2,25,0,0,0,,,0.16875299999999882,,1,0.9608333333333333
2,29,3,0,0,1.0,1.0,0.40078599999999653,,1,0.9802136752136752
2,27,7,0,0,4.0,4.0,0.11867599999999356,42.0,1,0.9494444444444444
2,13,2,0,0,1.0,1.0,0.4014700000000033,,1,0.9802136752136752
2,6,3,0,0,2.0,1.0,0.31277000000000044,,1,0.9155555555555556
2,26,0,0,0,6.0,6.0,0.24277599999999921,,1,0.9331196581196581
2,21,7,1,1,2.0,2.0,0.688444000000004,11.666666666666666,1,0.8716666666666667
2,24,0,1,0,2.0,2.0,0.10342599999999891,,1,0.8614957264957265
2,23,2,0,0,1.0,1.0,0.2609640000000013,,1,1.0
2,10,0,0,0,,6.0,2.8383249999999975,,1,0.9756349206349206
2,2,7,0,0,3.0,3.0,0.11017999999999972,32.0,1,0.9499462365591398
2,8,3,0,0,1.0,1.0,0.5713599999999985,,1,0.9045833333333333
2,11,7,0,0,3.0,3.0,0.1482249999999965,4.0,1,0.9046296296296297
2,19,0,0,0,4.0,4.0,0.49200400000000144,,1,0.9786111111111111
2,20,0,0,0,,,0.3617440000000016,,1,0.9447619047619048
3,27,7,1,0,4.0,5.0,0.2620540000000062,42.0,1,0.8483333333333334
3,17,0,0,0,,,0.34796999999998945,,1,0.9626190476190476
3,7,1,0,0,1.0,1.0,0.17774999999998897,,1,0.9523232323232323
3,1,0,1,0,2.0,2.0,0.2392200000000031,,1,0.9233333333333333
3,18,0,0,0,,,0.3093499999999949,,1,0.9838194444444445
3,14,0,0,0,2.0,2.0,0.1611599999999953,,1,0.9657246376811595
3,6,0,0,0,7.0,8.0,0.15096599999999682,,1,0.9554106280193236
3,8,2,2,0,1.0,1.0,0.05962999999999852,,1,0.9100980392156862
3,4,3,0,0,1.0,1.0,0.2350230000000053,,1,0.9761616161616161
3,5,0,0,0,3.0,3.0,0.15276199999999562,,1,0.9234959349593496
3,0,0,0,0,5.0,5.0,0.17154999999999632,,1,0.9815873015873016
3,16,0,0,0,4.0,5.0,0.02993000000000734,,1,0.9086111111111111
3,15,0,0,0,2.0,2.0,0.023145999999997002,,1,0.7901851851851852
3,25,0,1,0,10.0,10.0,0.3033350000000006,,1,0.9274836601307189
3,23,7,1,0,5.0,6.0,0.07395400000000052,2.5,1,0.9236928104575164
3,2,7,1,0,3.0,3.0,0.14356600000000697,32.0,1,0.842929292929293
3,26,0,1,0,5.0,5.0,0.14003000000000299,,1,0.9122222222222223
3,10,7,0,0,5.0,5.0,0.07694000000000756,0.14285714285714285,1,0.9794444444444445
3,22,7,0,0,3.0,3.0,1.113985999999997,6.75,1,0.9067251461988304
3,29,0,0,0,5.0,5.0,0.05317999999999756,,1,0.9822030651340996
3,20,0,1,0,,,0.246294000000006,,1,0.8961111111111111
3,19,0,0,0,3.0,3.0,0.14109700000000203,,1,0.9786111111111111
3,11,7,0,0,2.0,3.0,0.33557500000000573,4.0,1,0.9046296296296297
3,24,3,0,0,1.0,1.0,0.5411500000000018,,1,0.9331196581196581
3,9,0,1,0,,,0.10083799999999954,,1,0.9299999999999999
3,21,7,2,0,2.0,2.0,0.042614000000000374,11.666666666666666,1,0.8105555555555556
3,3,0,1,0,2.0,2.0,0.024500000000003297,,1,0.9499462365591398
3,28,2,0,0,1.0,1.0,0.09306800000000237,,1,0.9738888888888889
3,12,0,0,0,4.0,4.0,0.5597139999999996,,1,0.938954248366013
3,13,1,0,0,1.0,2.0,0.035219999999995366,,1,0.9685858585858586
4,2,7,0,0,3.0,3.0,0.41262499999999136,32.0,1,0.9214646464646464
4,18,0,1,0,,,0.056939999999997326,,1,0.9577777777777777
4,8,2,2,0,1.0,1.0,0.15112000000000592,,1,0.8466666666666667
4,7,0,0,0,9.0,9.0,0.37413999999999703,,1,0.965
4,9,0,1,0,,,0.5070500000000067,,1,0.9031632653061225
4,17,0,0,0,,,0.4086980000000011,,1,0.9689215686274509
4,14,1,0,0,1.0,1.0,0.028675999999990154,,1,0.960041928721174
4,12,0,1,0,3.0,2.0,0.539715000000001,,1,0.8354385964912281
4,23,7,0,0,6.0,6.0,0.0586319999999958,2.5,1,0.9428743961352657
4,6,7,2,0,6.0,8.0,0.13569599999999582,1.8571428571428572,1,0.9190972222222222
4,4,0,0,0,2.0,2.0,0.23117000000000587,,1,0.9552245862884161
4,11,7,0,0,3.0,3.0,0.148335000000003,4.0,1,0.9046296296296297
4,16,7,1,0,3.0,3.0,0.40299300000000216,0.625,1,0.8433333333333333
4,20,0,1,0,10.0,10.0,0.028549999999995634,,1,0.8808080808080808
4,15,7,1,0,1.0,1.0,0.13032299999999708,1.7777777777777777,1,0.7901851851851852
4,0,0,1,0,4.0,4.0,2.3352799999999974,,1,0.9288122605363984
4,27,7,0,0,4.0,4.0,0.1311539999999951,42.0,1,0.8483333333333334
4,21,7,0,1,3.0,3.0,0.877135999999993,11.666666666666666,1,0.9332616487455198
4,1,2,0,0,1.0,1.0,0.17983999999999867,,1,0.9744444444444444
4,24,0,0,0,2.0,2.0,0.010823000000002025,,1,0.9440307328605201
4,22,7,0,0,5.0,5.0,2.241499999999988,6.75,1,0.9160526315789473
4,26,0,0,0,4.0,4.0,0.12433799999999806,,1,0.9347076023391813
4,10,7,0,0,5.0,5.0,0.3283799999999957,0.14285714285714285,1,0.9794444444444445
4,28,0,1,0,2.0,2.0,0.059293000000003815,,1,0.8331313131313132
4,25,0,0,0,9.0,9.0,0.2118109999999973,,1,0.9724712643678161
4,19,7,1,0,3.0,2.0,0.12185000000000912,2.5,1,0.8716666666666667
4,13,0,0,0,10.0,11.0,0.1660399999999953,,1,0.9528787878787879
4,3,7,0,0,1.0,1.0,0.79786,2.3,1,0.9499462365591398
4,29,0,0,0,5.0,5.0,0.5585379999999986,,0,0.9869444444444444
4,5,0,0,0,2.0,2.0,0.2726869999999977,,1,0.9552245862884161
5,5,1,0,0,1.0,1.0,0.061650000000000205,,1,0.950925925925926
5,10,7,0,0,5.0,5.0,0.17070000000001073,0.14285714285714285,1,0.9588888888888889
5,6,7,0,0,7.0,7.0,0.5968280000000021,1.8571428571428572,1,0.9528787878787879
5,0,0,1,0,3.0,4.0,0.008049999999997226,,1,0.8743434343434343
5,27,7,1,0,4.0,4.0,0.21811599999999487,42.0,1,0.8988888888888888
5,22,7,2,0,5.0,4.0,1.257684999999995,6.75,1,0.9212295081967213
5,18,7,1,0,,,2.569749999999999,2.1818181818181817,1,0.9421212121212121
5,13,0,1,0,9.0,9.0,0.27122400000000013,,0,0.9127777777777778
5,16,7,1,0,3.0,3.0,0.18245699999999943,0.625,1,0.7911111111111111
5,7,0,1,0,8.0,8.0,0.26830300000000307,,1,0.965
5,21,7,0,0,3.0,3.0,1.7485500000000087,11.666666666666666,1,0.9332616487455198
5,12,0,1,0,2.0,2.0,0.013649999999998386,,1,0.8041666666666667
5,19,7,0,0,2.0,3.0,0.3626440000000031,2.5,1,0.9208547008547009
5,20,0,1,0,9.0,9.0,0.1664699999999968,,1,0.9018518518518519
5,3,7,0,0,1.0,1.0,0.3131649999999979,2.3,1,0.9499462365591398
5,15,7,0,0,1.0,1.0,0.021255999999993946,1.7777777777777777,1,0.7711111111111111
5,14,0,0,0,,,0.5947419999999966,,1,0.9720175438596491
5,9,0,0,0,,,0.11801899999998966,,1,0.9500524109014675
5,26,0,1,0,3.0,3.0,0.5098299999999938,,1,0.8726190476190476
5,17,0,0,0,,,0.1562460000000101,,1,0.9807070707070707
5,1,0,0,0,6.0,6.0,0.021521999999997377,,1,0.9822030651340996
5,2,7,1,0,3.0,2.0,0.13060999999999012,32.0,1,0.8844444444444445
5,24,2,1,0,1.0,1.0,0.4550760000000018,,1,0.9031632653061225
5,25,0,0,0,8.0,8.0,0.31846000000000174,,1,0.9748958333333333
5,29,2,2,0,5.0,5.0,0.0016770000000008167,,1,0.9116666666666666
5,8,0,0,0,7.0,7.0,0.49902999999999054,,1,0.9252380952380952
5,23,7,0,0,6.0,6.0,0.14026400000000194,2.5,1,0.9542995169082126
5,28,3,0,0,1.0,2.0,0.36765500000000273,,1,0.9085990338164252
5,4,1,1,0,1.0,1.0,1.6606400000000008,,1,0.9146428571428571
5,11,7,0,0,3.0,3.0,0.022125000000002615,4.0,1,0.9046296296296297
6,21,7,1,0,3.0,3.0,0.5209339999999969,11.666666666666666,1,0.8902923976608187
6,24,0,0,0,2.0,2.0,0.4439869999999999,,1,0.89640522875817
6,11,7,1,0,3.0,3.0,0.16369500000000414,4.0,1,0.8411111111111111
6,4,0,0,0,4.0,4.0,0.9798739999999952,,1,0.9440350877192982
6,15,7,0,0,2.0,0.0,0.17885200000000623,1.7777777777777777,1,0.7711111111111111
6,19,7,0,0,2.0,2.0,0.48611999999999966,2.5,1,0.9208547008547009
6,6,7,0,0,7.0,7.0,0.07072800000000257,1.8571428571428572,1,0.9528787878787879
6,18,7,1,0,,,1.59281,2.1818181818181817,1,0.9347076023391813
6,12,2,0,0,1.0,1.0,2.0811550000000096,,1,0.8433333333333333
6,16,7,0,0,3.0,3.0,0.7639089999999982,0.625,1,0.8694444444444445
6,23,0,3,0,5.0,6.0,0.024298999999999182,,1,0.877948717948718
6,5,0,2,0,2.0,2.0,1.7466000000000008,,1,0.9037810945273632
6,10,7,0,0,5.0,5.0,0.05520999999998821,0.14285714285714285,1,0.9588888888888889
6,9,0,0,0,10.0,10.0,0.7506979999999999,,1,0.9620634920634921
6,17,0,2,0,,,0.0073100000000039245,,1,0.9357662835249042
6,22,7,3,0,,8.0,2.201105999999996,6.75,1,0.9141787439613527
6,25,0,2,0,7.0,6.0,0.18021000000000242,,1,0.9430808080808081
6,26,0,0,0,2.0,2.0,0.12799700000000058,,1,0.9230158730158731
6,3,7,1,0,1.0,1.0,0.25504000000000815,2.3,1,0.9499462365591398
6,8,0,1,0,8.0,8.0,0.2970159999999993,,1,0.8956746031746032
6,0,7,0,0,2.0,2.0,0.5972980000000021,2.75,1,0.9057575757575758
6,14,0,0,0,,,0.11487599999999532,,1,0.9835042735042735
6,28,0,1,0,2.0,2.0,0.1881219999999999,,1,0.8944444444444444
6,7,0,1,0,,7.0,1.3796260000000018,,1,0.915079365079365
6,1,0,0,0,5.0,5.0,0.0026900000000011914,,1,0.9851587301587301
6,2,7,0,0,3.0,2.0,0.278349999999989,32.0,1,0.9277777777777778
6,20,0,0,0,8.0,8.0,0.3984300000000047,,1,0.9440350877192982
6,13,2,0,0,1.0,1.0,0.13675200000000132,,1,0.9299999999999999
6,29,0,1,0,4.0,4.0,0.20068900000000056,,1,0.8527777777777777
6,27,7,0,0,4.0,3.0,0.12740599999999347,42.0,1,0.8988888888888888
7,28,3,0,0,2.0,1.0,0.2575199999999995,,1,0.9517676767676768
7,29,0,0,0,3.0,2.0,0.5198259999999948,,1,0.8715325670498084
7,16,7,0,0,3.0,3.0,0.05928800000000223,0.625,1,0.8563888888888889
7,15,7,0,0,1.0,1.0,0.43668799999999663,1.7777777777777777,1,0.7711111111111111
7,9,0,1,0,9.0,9.0,0.0782650000000018,,1,0.9124772313296904
7,20,0,0,0,7.0,7.0,0.2664699999999982,,1,0.934017094017094
7,3,7,0,0,1.0,1.0,0.6992049999999921,2.3,1,0.9499462365591398
7,25,0,1,0,6.0,6.0,0.14087299999999914,,1,0.9205555555555556
7,19,7,0,0,2.0,2.0,0.16644999999999754,2.5,1,0.9208547008547009
7,22,7,3,0,,,0.5531200000000069,6.75,1,0.8942640692640692
7,7,0,1,0,,5.0,1.7823199999999986,,1,0.9198175787728027
7,13,0,1,0,5.0,5.0,0.25295300000000154,,1,0.9051587301587302
7,5,2,1,0,1.0,1.0,0.1849899999999991,,1,0.8751690821256038
7,6,7,0,0,7.0,7.0,0.31642199999999576,1.8571428571428572,1,0.9528787878787879
7,4,0,0,0,3.0,3.0,1.6250309999999928,,1,0.9512121212121212
7,21,7,0,0,5.0,5.0,2.0311860000000053,11.666666666666666,1,0.9314327485380117
7,0,7,0,0,2.0,2.0,0.4877619999999965,2.75,1,0.9057575757575758
7,23,0,1,0,5.0,5.0,0.0446150000000074,,1,0.8556349206349206
7,12,0,1,0,,,0.7364500000000049,,1,0.8716666666666667
7,2,7,0,0,3.0,4.0,0.02108400000000188,32.0,1,0.9277777777777778
7,17,0,0,0,,,0.1358060000000023,,1,0.9518905472636816
7,11,7,1,0,3.0,3.0,0.3368150000000014,4.0,1,0.8411111111111111
7,8,0,1,0,7.0,7.0,0.41559999999999775,,1,0.8787426900584796
7,1,0,2,0,4.0,4.0,0.04263999999999868,,1,0.8961111111111111
7,26,3,2,0,1.0,2.0,0.4800369999999994,,1,0.865432098765432
7,24,4,1,0,1.0,1.0,0.014544000000000779,,1,0.8507602339181287
7,18,7,0,0,,,0.49227999999999383,2.1818181818181817,1,0.9440350877192982
7,10,7,1,0,5.0,5.0,0.2983939999999876,0.14285714285714285,1,0.8342857142857143
7,27,7,0,0,4.0,4.0,0.04476900000000228,42.0,1,0.8988888888888888
7,14,0,1,0,,,0.04549000000000092,,1,0.9505128205128205
8,25,0,1,0,5.0,5.0,0.005583999999998923,,1,0.9094444444444445
8,16,7,1,0,3.0,3.0,0.12149699999999797,0.625,1,0.8955555555555555
8,7,0,1,0,5.0,5.0,0.3944090000000031,,1,0.9230158730158731
8,19,7,0,0,2.0,2.0,0.07669400000000337,2.5,1,0.9208547008547009
8,18,7,1,0,,,0.9528200000000027,2.1818181818181817,1,0.9082375478927203
8,21,7,0,0,5.0,5.0,1.565494000000001,11.666666666666666,1,0.9314327485380117
8,29,0,1,0,5.0,4.0,0.39975599999999645,,1,0.8623563218390804
8,2,7,1,0,3.0,3.0,0.2504500000000007,32.0,1,0.87
8,24,0,0,0,7.0,7.0,0.2747540000000015,,1,0.8990613026819924
8,4,0,4,0,2.0,2.0,0.3709599999999966,,1,0.9259876543209876
8,12,0,1,0,7.0,7.0,0.4955500000000015,,1,0.8860457516339869
8,9,0,2,0,7.0,8.0,0.18737600000000043,,1,0.844920634920635
8,6,7,2,0,6.0,7.0,0.187851000000002,1.8571428571428572,1,0.8733783783783784
8,15,7,0,0,1.0,1.0,0.7771220000000056,1.7777777777777777,1,0.7520370370370371
8,13,0,0,0,4.0,4.0,0.07641499999999724,,1,0.9405555555555556
8,11,7,2,0,3.0,3.0,0.2738650000000007,4.0,1,0.7805847953216375
8,5,0,0,0,3.0,3.0,0.130660000000006,,1,0.8898452883263009
8,14,0,0,0,,,0.24502999999999986,,1,0.9319444444444445
8,23,0,0,0,4.0,4.0,0.4940700000000078,,1,0.8726190476190476
8,1,0,0,0,3.0,3.0,0.03141700000000114,,1,0.9390826873385013
8,3,7,1,0,1.0,1.0,0.062233999999989464,2.3,1,0.9499462365591398
8,26,0,2,0,4.0,4.0,0.23998300000000228,,1,0.8486680053547524
8,27,7,0,0,5.0,4.0,0.128066000000004,42.0,1,0.8988888888888888
8,20,0,1,0,6.0,6.0,0.284202999999998,,1,0.9130065359477124
8,28,3,1,0,1.0,1.0,0.48431999999999675,,1,0.911799336650083
8,10,7,1,0,5.0,5.0,0.1443700000000092,0.14285714285714285,1,0.8705555555555555
8,8,0,0,0,6.0,6.0,0.3298110000000065,,1,0.932063492063492
8,22,7,0,0,,,0.7569560000000024,6.75,1,0.9154112554112555
8,0,7,2,0,2.0,2.0,0.04222800000000149,2.75,1,0.9057575757575758
8,17,0,2,0,5.0,5.0,0.38705200000000417,,1,0.9268768768768769
9,17,0,1,0,4.0,4.0,0.007165000000000532,,1,0.9010818713450293
9,1,0,0,0,2.0,2.0,1.5894839999999988,,1,0.9428743961352657
9,10,7,1,0,5.0,5.0,0.24499400000000549,0.14285714285714285,1,0.8705555555555555
9,13,0,0,0,4.0,4.0,0.2006370000000004,,1,0.944640522875817
9,8,0,1,0,5.0,5.0,0.26515000000000555,,1,0.8667123287671232
9,16,7,0,0,3.0,3.0,0.018993000000001814,0.625,1,0.8825
9,9,7,0,0,7.0,7.0,0.11220000000000141,3.0,1,0.899074074074074
9,5,0,2,0,2.0,2.0,0.1210710000000006,,0,0.8554219409282701
9,20,0,0,0,4.0,5.0,0.13842400000000055,,1,0.935
9,4,3,1,0,1.0,1.0,0.48456600000000094,,1,0.906439393939394
9,0,7,0,0,2.0,2.0,0.14374499999999557,2.75,1,0.9057575757575758
9,6,7,0,0,7.0,7.0,0.017251999999999157,1.8571428571428572,1,0.8874474474474474
9,25,0,1,0,4.0,4.0,4.4484800000000035,,1,0.8928544061302682
9,26,0,1,0,3.0,3.0,0.0007850000000004798,,1,0.8535012919896641
9,23,0,1,0,3.0,3.0,0.5380099999999999,,1,0.865
9,21,7,2,1,,6.0,0.6779039999999981,11.666666666666666,1,0.8825
9,22,7,3,0,,,0.6932299999999998,6.75,1,0.8856172839506173
9,28,0,0,0,4.0,4.0,0.05215499999999906,,1,0.9164241001564946
9,24,0,3,0,5.0,6.0,0.007190000000008467,,1,0.8617676767676767
9,18,7,0,0,,,0.006774999999990428,2.1818181818181817,1,0.9449425287356322
9,2,7,0,0,2.0,3.0,0.2096000000000089,32.0,1,0.8844444444444445
9,14,0,1,0,2.0,2.0,2.7525849999999963,,1,0.9201626016260163
9,12,0,0,0,6.0,6.0,0.014854999999997176,,1,0.8860457516339869
9,19,7,0,0,2.0,2.0,0.06481000000000847,2.5,1,0.9208547008547009
9,27,7,0,0,4.0,4.0,0.3025260000000003,42.0,1,0.8988888888888888
9,3,7,0,0,1.0,1.0,0.09846000000000288,2.3,1,0.9499462365591398
9,29,2,1,0,,7.0,0.7080260000000038,,1,0.8641269841269841
9,7,0,0,0,4.0,4.0,0.49750500000000386,,1,0.9327777777777778
9,15,7,1,0,1.0,1.0,0.3864099999999979,1.7777777777777777,1,0.7520370370370371
9,11,7,0,0,3.0,3.0,0.09317099999999812,4.0,1,0.8217251461988304
10,1,2,1,0,1.0,1.0,0.20218599999999753,,1,0.9314492753623188
10,25,0,1,0,3.0,3.0,0.034624999999991246,,1,0.8766666666666667
10,27,7,0,0,4.0,4.0,0.37749399999999866,42.0,1,0.8988888888888888
10,14,7,2,0,0.0,1.0,0.024134000000003653,28.0,1,0.8789793281653746
10,22,7,0,0,,,1.438295999999994,6.75,1,0.8923456790123456
10,3,7,0,0,1.0,1.0,0.5042739999999952,2.3,1,0.9499462365591398
10,2,7,0,0,3.0,3.0,0.06043999999999983,32.0,1,0.8988888888888888
10,9,7,0,0,7.0,7.0,0.22408000000000072,3.0,1,0.9058024691358024
10,8,3,0,0,4.0,4.0,0.06776800000000094,,1,0.9277777777777778
10,26,0,0,0,2.0,2.0,0.049665999999987775,,1,0.8961111111111111
10,17,0,0,0,8.0,8.0,0.14971600000000151,,1,0.9243567251461988
10,13,0,3,0,5.0,5.0,0.1786980000000007,,1,0.9154112554112555
10,0,7,0,0,2.0,1.0,0.18785399999999441,2.75,1,0.9057575757575758
10,4,0,0,0,,,0.6486760000000089,,1,0.9110215053763441
10,15,7,0,0,1.0,1.0,0.06495700000000681,1.7777777777777777,1,0.7520370370370371
10,20,0,0,0,3.0,3.0,3.2716000000000065,,1,0.9363049095607235
10,5,3,1,0,1.0,1.0,0.20165400000000133,,1,0.8485372714486639
10,11,7,1,0,3.0,3.0,0.010795000000001664,4.0,1,0.7394444444444445
10,23,0,0,0,2.0,2.0,0.41070200000000057,,1,0.88
10,16,7,0,0,2.0,2.0,0.2612880000000004,0.625,1,0.8955555555555555
10,28,0,0,0,3.0,3.0,0.3786510000000014,,1,0.9195645645645646
10,10,7,0,0,5.0,5.0,0.17350999999999317,0.14285714285714285,1,0.9190972222222222
10,21,7,0,0,,7.0,0.5426539999999989,11.666666666666666,1,0.9347222222222222
10,6,7,1,0,7.0,7.0,0.5403099999999981,1.8571428571428572,1,0.8354385964912281
10,12,0,0,0,5.0,5.0,0.033997999999996864,,1,0.9065873015873016
10,29,2,0,0,5.0,5.0,0.8849409999999978,,1,0.8861616161616162
10,24,0,1,0,4.0,5.0,0.1505200000000002,,1,0.8298611111111112
10,19,7,0,0,2.0,2.0,0.1835439999999977,2.5,1,0.9208547008547009
10,7,0,0,0,3.0,3.0,2.9587300000000027,,1,0.9365972222222222
10,18,7,0,0,,,2.1265949999999947,2.1818181818181817,1,0.9449425287356322
11,21,7,0,1,,7.0,1.7838339999999988,11.666666666666666,1,0.9347222222222222
11,17,0,0,0,7.0,7.0,0.1524079999999941,,1,0.9277777777777778
11,1,0,0,0,3.0,3.0,0.017599999999987403,,1,0.938974358974359
11,18,7,0,0,,,0.9017499999999927,2.1818181818181817,1,0.9449425287356322
11,15,7,0,0,1.0,1.0,0.047077999999999065,1.7777777777777777,1,0.7711111111111111
11,10,7,1,0,5.0,5.0,0.48559000000000196,0.14285714285714285,1,0.8272222222222223
11,28,0,0,0,3.0,3.0,0.03242699999999843,,1,0.9357894736842105
11,26,3,1,0,1.0,1.0,0.18975399999999354,,1,0.8742028985507246
11,5,0,0,0,3.0,3.0,0.3182179999999981,,1,0.8554219409282701
11,16,7,0,0,3.0,3.0,0.507356999999999,0.625,1,0.8955555555555555
11,6,7,0,0,7.0,7.0,0.033293999999997936,1.8571428571428572,1,0.8628654970760234
11,25,0,1,0,2.0,2.0,0.08383300000000204,,1,0.8755717367853291
11,29,0,0,0,5.0,5.0,0.32470600000000616,,1,0.8813725490196078
11,9,7,1,0,7.0,7.0,0.2020959999999974,3.0,1,0.8905555555555555
11,4,0,2,0,8.0,8.0,0.06426999999999339,,1,0.9010818713450293
11,2,7,0,0,3.0,3.0,0.28419999999999845,32.0,1,0.8844444444444445
11,11,7,1,0,3.0,4.0,0.017380000000002838,4.0,1,0.7191025641025641
11,24,0,0,0,4.0,4.0,1.309570000000008,,1,0.8775
11,27,7,1,0,4.0,4.0,0.016735999999994533,42.0,1,0.723939393939394
11,7,0,0,0,2.0,2.0,0.5607150000000019,,1,0.9394334433443344
11,14,7,1,0,1.0,0.0,0.0677170000000018,28.0,1,0.9092490842490842
