id	x	y	temperature
475	15	25	300.0493
505	16	25	39.084896
535	17	25	99.661766
565	18	25	116.7051
595	19	25	74.21929
625	20	25	83.538826
655	21	25	33.061394
685	22	25	50.866783
715	23	25	81.03368
745	24	25	66.13014
775	25	25	93.49493
805	26	25	116.18312
835	27	25	96.99525
865	28	25	24.941177
895	29	25	70.16995
24	0	24	74.20505
54	1	24	117.927704
84	2	24	94.54609
114	3	24	27.210522
144	4	24	69.10449
174	5	24	52.31705
204	6	24	111.20296
234	7	24	47.913776
264	8	24	62.04717
294	9	24	65.313866
324	10	24	82.3742
354	11	24	108.005585
384	12	24	61.193325
414	13	24	36.53363
444	14	24	59.62176
474	15	24	314.82437
504	16	24	82.42414
534	17	24	85.90323
564	18	24	64.36975
594	19	24	69.38219
624	20	24	91.1487
654	21	24	65.95672
684	22	24	65.34648
714	23	24	25.732862
744	24	24	81.22716
774	25	24	116.45842
804	26	24	114.00636
834	27	24	29.68217
864	28	24	105.11049
894	29	24	77.81483
23	0	23	85.01969
53	1	23	53.877937
83	2	23	24.232956
113	3	23	19.640018
143	4	23	99.31543
173	5	23	69.20738
203	6	23	92.85903
233	7	23	24.895191
263	8	23	101.09319
293	9	23	87.48259
323	10	23	56.49686
353	11	23	83.099594
383	12	23	50.279457
413	13	23	58.240906
443	14	23	45.40235
473	15	23	357.6571
503	16	23	55.199574
533	17	23	63.434334
563	18	23	96.4044
593	19	23	52.063957
623	20	23	65.30174
653	21	23	23.62079
683	22	23	117.1362
713	23	23	75.57091
743	24	23	85.133514
773	25	23	112.75026
803	26	23	73.07292
833	27	23	89.90862
863	28	23	96.74089
893	29	23	18.492113
22	0	22	38.299736
52	1	22	60.822334
82	2	22	383.10825
112	3	22	81.29822
142	4	22	98.010086
172	5	22	83.995995
202	6	22	29.671906
232	7	22	43.836433
262	8	22	83.22826
292	9	22	98.81216
322	10	22	117.01203
352	11	22	93.72607
382	12	22	72.56148
412	13	22	325.95056
442	14	22	392.46896
472	15	22	374.20084
502	16	22	302.09595
532	17	22	29.584984
562	18	22	97.99795
592	19	22	114.04657
622	20	22	60.561165
652	21	22	23.637695
682	22	22	54.564377
712	23	22	63.450645
742	24	22	46.61241
772	25	22	64.9207
802	26	22	88.46545
832	27	22	93.22406
862	28	22	111.872795
892	29	22	67.541046
21	0	21	68.94491
51	1	21	369.2188
81	2	21	378.63696
111	3	21	58.985184
141	4	21	22.741497
171	5	21	53.23755
201	6	21	95.72324
231	7	21	69.53464
261	8	21	114.692604
291	9	21	57.898216
321	10	21	92.54561
351	11	21	89.77231
381	12	21	64.23633
411	13	21	46.399536
441	14	21	329.36328
471	15	21	106.980774
501	16	21	110.263016
531	17	21	95.400116
561	18	21	81.12787
591	19	21	40.023876
621	20	21	77.30171
651	21	21	42.479446
681	22	21	28.288486
711	23	21	66.75685
741	24	21	60.95172
771	25	21	87.777664
801	26	21	21.503777
831	27	21	55.413788
861	28	21	301.60797
891	29	21	50.884903
20	0	20	52.144814
50	1	20	309.18564
80	2	20	112.539566
110	3	20	80.317116
140	4	20	99.583694
170	5	20	72.15959
200	6	20	19.17365
230	7	20	27.600325
260	8	20	24.564472
290	9	20	22.329472
320	10	20	49.903564
350	11	20	41.30448
380	12	20	30.482944
410	13	20	73.94283
440	14	20	322.1888
470	15	20	341.81763
500	16	20	356.88782
530	17	20	20.857647
560	18	20	21.331789
590	19	20	101.84654
620	20	20	67.87619
650	21	20	78.27078
680	22	20	115.33535
710	23	20	65.40053
740	24	20	53.24758
770	25	20	25.009382
800	26	20	31.217194
830	27	20	114.7509
860	28	20	48.65737
890	29	20	41.499542
19	0	19	85.14845
49	1	19	91.25328
79	2	19	21.512615
109	3	19	83.24543
139	4	19	84.76901
169	5	19	89.87317
199	6	19	54.30577
229	7	19	19.198395
259	8	19	67.30002
289	9	19	19.466745
319	10	19	91.38648
349	11	19	35.915695
379	12	19	114.61891
409	13	19	34.087017
439	14	19	354.4147
469	15	19	313.45984
499	16	19	114.42451
529	17	19	67.86048
559	18	19	55.270622
589	19	19	72.88307
619	20	19	105.1152
649	21	19	82.66389
679	22	19	49.77534
709	23	19	51.52052
739	24	19	96.339806
769	25	19	91.39133
799	26	19	30.283188
829	27	19	88.166916
859	28	19	56.176067
889	29	19	84.900246
18	0	18	37.151848
48	1	18	18.300552
78	2	18	92.56154
108	3	18	95.8647
138	4	18	63.70297
168	5	18	32.483646
198	6	18	87.22164
228	7	18	88.03998
258	8	18	77.49451
288	9	18	42.34537
318	10	18	99.71411
348	11	18	102.08145
378	12	18	51.283897
408	13	18	49.55967
438	14	18	88.72897
468	15	18	33.6249
498	16	18	93.07405
528	17	18	88.042114
558	18	18	101.787926
588	19	18	89.56406
618	20	18	61.111313
648	21	18	41.58748
678	22	18	24.202415
708	23	18	46.37286
738	24	18	21.531935
768	25	18	105.30181
798	26	18	80.198044
828	27	18	27.491186
858	28	18	75.584915
888	29	18	30.227085
17	0	17	95.53343
47	1	17	93.486084
77	2	17	95.942986
107	3	17	116.241844
137	4	17	32.93913
167	5	17	116.02188
197	6	17	64.91669
227	7	17	25.14307
257	8	17	64.44979
287	9	17	103.3886
317	10	17	106.77399
347	11	17	83.9442
377	12	17	47.23508
407	13	17	106.56441
437	14	17	66.62893
467	15	17	100.780914
497	16	17	116.467445
527	17	17	104.66954
557	18	17	18.264063
587	19	17	37.69464
617	20	17	86.12557
647	21	17	30.310839
677	22	17	112.91614
707	23	17	19.897982
737	24	17	100.893394
767	25	17	35.0512
797	26	17	74.855644
827	27	17	53.939037
857	28	17	32.808342
887	29	17	42.77495
16	0	16	102.91925
46	1	16	98.136566
76	2	16	69.970406
106	3	16	28.362928
136	4	16	101.710205
166	5	16	115.55158
196	6	16	83.84778
226	7	16	39.263237
256	8	16	33.882095
286	9	16	74.00531
316	10	16	77.48721
346	11	16	66.85252
376	12	16	98.31533
406	13	16	85.100555
436	14	16	79.337326
466	15	16	99.808105
496	16	16	27.153482
526	17	16	35.753105
556	18	16	115.81523
586	19	16	66.82892
616	20	16	113.94852
646	21	16	86.203476
676	22	16	85.660866
706	23	16	115.61921
736	24	16	74.0243
766	25	16	52.91295
796	26	16	96.744026
826	27	16	85.52574
856	28	16	73.495705
886	29	16	81.65959
15	0	15	107.6264
45	1	15	70.69244
75	2	15	52.68227
105	3	15	27.77708
135	4	15	55.33735
165	5	15	32.798725
195	6	15	51.118656
225	7	15	61.90294
255	8	15	46.447033
285	9	15	88.66068
315	10	15	47.39817
345	11	15	85.75528
375	12	15	91.918564
405	13	15	117.78863
435	14	15	39.18118
465	15	15	385.11356
495	16	15	306.1782
525	17	15	45.153515
555	18	15	31.02016
585	19	15	77.25455
615	20	15	104.7183
645	21	15	59.373356
675	22	15	32.4362
705	23	15	87.00667
735	24	15	52.34153
765	25	15	68.94397
795	26	15	46.291508
825	27	15	75.83029
855	28	15	62.781925
885	29	15	65.54003
14	0	14	46.161667
44	1	14	110.45815
74	2	14	76.01324
104	3	14	78.52998
134	4	14	105.15637
164	5	14	30.093788
194	6	14	99.167404
224	7	14	33.364532
254	8	14	100.54982
284	9	14	19.379082
314	10	14	103.40114
344	11	14	23.212961
374	12	14	51.539925
404	13	14	79.55049
434	14	14	42.616005
464	15	14	385.98764
494	16	14	367.52737
524	17	14	374.6938
554	18	14	91.870285
584	19	14	53.29309
614	20	14	28.476479
644	21	14	59.099323
674	22	14	95.24793
704	23	14	113.60426
734	24	14	88.269104
764	25	14	22.93547
794	26	14	103.25907
824	27	14	115.48801
854	28	14	77.68153
884	29	14	104.6326
13	0	13	53.4362
43	1	13	60.35675
73	2	13	62.580482
103	3	13	48.777473
133	4	13	83.27634
163	5	13	51.0934
193	6	13	76.85292
223	7	13	83.222115
253	8	13	58.44783
283	9	13	94.45426
313	10	13	32.867958
343	11	13	87.776955
373	12	13	105.16166
403	13	13	23.932549
433	14	13	67.571655
463	15	13	391.54504
493	16	13	382.86218
523	17	13	309.2985
553	18	13	109.89034
583	19	13	29.872372
613	20	13	101.73573
643	21	13	65.64503
673	22	13	21.739714
703	23	13	71.670975
733	24	13	46.399445
763	25	13	89.75677
793	26	13	28.981665
823	27	13	73.657104
853	28	13	68.44911
883	29	13	117.154144
12	0	12	87.42292
42	1	12	116.9745
72	2	12	35.84062
102	3	12	85.75901
132	4	12	61.433605
162	5	12	56.89372
192	6	12	31.974318
222	7	12	79.84115
252	8	12	113.52933
282	9	12	55.205383
312	10	12	109.0457
342	11	12	112.23028
372	12	12	22.671753
402	13	12	102.899
432	14	12	64.59143
462	15	12	318.47427
492	16	12	89.22767
522	17	12	112.447784
552	18	12	46.571198
582	19	12	85.17936
612	20	12	71.820404
642	21	12	109.64085
672	22	12	44.860245
702	23	12	72.26418
732	24	12	31.843906
762	25	12	82.207695
792	26	12	20.251917
822	27	12	66.00807
852	28	12	91.75419
882	29	12	53.008625
11	0	11	48.088917
41	1	11	117.46255
71	2	11	69.97104
101	3	11	75.20221
131	4	11	65.51839
161	5	11	66.465034
191	6	11	28.256649
221	7	11	90.726616
251	8	11	56.939644
281	9	11	95.1663
311	10	11	54.574192
341	11	11	75.985
371	12	11	41.515854
401	13	11	109.301765
431	14	11	28.745583
461	15	11	33.51446
491	16	11	77.91893
521	17	11	44.389816
551	18	11	61.603096
581	19	11	34.613487
611	20	11	60.47318
641	21	11	53.439987
671	22	11	109.26411
701	23	11	80.99382
731	24	11	114.45656
761	25	11	24.956072
791	26	11	67.17909
821	27	11	86.43527
851	28	11	67.21087
881	29	11	39.01594
10	0	10	46.97863
40	1	10	27.135218
70	2	10	30.723291
100	3	10	34.356247
130	4	10	71.15164
160	5	10	103.60161
190	6	10	74.50864
220	7	10	71.75595
250	8	10	117.81931
280	9	10	81.89888
310	10	10	114.253784
340	11	10	57.846565
370	12	10	74.365204
400	13	10	90.002914
430	14	10	81.75873
460	15	10	93.384315
490	16	10	61.940804
520	17	10	40.554222
550	18	10	32.56739
580	19	10	44.794144
610	20	10	31.783752
640	21	10	27.867268
670	22	10	87.059616
700	23	10	79.50624
730	24	10	46.58505
760	25	10	111.08073
790	26	10	93.90333
820	27	10	70.601654
850	28	10	101.53432
880	29	10	49.30461
9	0	9	45.99753
39	1	9	92.571365
69	2	9	87.52308
99	3	9	27.285202
129	4	9	62.7713
159	5	9	104.850044
189	6	9	67.261536
219	7	9	46.773808
249	8	9	111.58571
279	9	9	62.62654
309	10	9	72.56842
339	11	9	112.55245
369	12	9	96.14891
399	13	9	101.71224
429	14	9	103.86455
459	15	9	30.581783
489	16	9	90.64323
519	17	9	101.18371
549	18	9	76.16974
579	19	9	18.052187
609	20	9	41.91903
639	21	9	57.371597
669	22	9	87.9165
699	23	9	95.80297
729	24	9	74.61609
759	25	9	110.55027
789	26	9	49.644703
819	27	9	29.748936
849	28	9	28.337044
879	29	9	60.60079
8	0	8	50.816704
38	1	8	77.69281
68	2	8	25.727066
98	3	8	52.509384
128	4	8	77.34813
158	5	8	18.96481
188	6	8	54.180737
218	7	8	69.38736
248	8	8	87.93769
278	9	8	73.40409
308	10	8	109.158325
338	11	8	102.102234
368	12	8	99.0452
398	13	8	100.64365
428	14	8	105.2553
458	15	8	95.40126
488	16	8	106.33313
518	17	8	87.89625
548	18	8	37.490185
578	19	8	64.443665
608	20	8	46.053795
638	21	8	59.26533
668	22	8	76.04666
698	23	8	99.072235
728	24	8	55.690285
758	25	8	98.64148
788	26	8	87.04312
818	27	8	101.10145
848	28	8	18.930412
878	29	8	86.36737
7	0	7	115.41815
37	1	7	50.948204
67	2	7	40.934357
97	3	7	22.452011
127	4	7	79.89789
157	5	7	91.45356
187	6	7	42.824963
217	7	7	44.90814
247	8	7	62.096935
277	9	7	97.3079
307	10	7	116.02031
337	11	7	53.971367
367	12	7	75.55075
397	13	7	87.569756
427	14	7	69.5861
457	15	7	19.418398
487	16	7	73.41829
517	17	7	83.550385
547	18	7	19.139618
577	19	7	73.34205
607	20	7	31.388926
637	21	7	22.68441
667	22	7	23.20965
697	23	7	89.20431
727	24	7	108.66313
757	25	7	364.26224
787	26	7	342.13724
817	27	7	315.227
847	28	7	64.5098
877	29	7	80.82634
6	0	6	59.91043
36	1	6	94.903114
66	2	6	54.336193
96	3	6	99.530624
126	4	6	42.175472
156	5	6	98.82871
186	6	6	79.04277
216	7	6	51.299343
246	8	6	98.00405
276	9	6	50.193245
306	10	6	48.814117
336	11	6	91.03297
366	12	6	113.75237
396	13	6	28.159842
426	14	6	42.404312
456	15	6	95.24038
486	16	6	40.64303
516	17	6	116.48039
546	18	6	18.359375
576	19	6	117.236404
606	20	6	67.38728
636	21	6	35.658684
666	22	6	97.86712
696	23	6	103.85115
726	24	6	93.92595
756	25	6	76.4382
786	26	6	116.342316
816	27	6	313.2615
846	28	6	323.66556
876	29	6	348.32904
5	0	5	34.29431
35	1	5	76.638596
65	2	5	101.17295
95	3	5	31.241938
125	4	5	91.67994
155	5	5	55.894836
185	6	5	101.31998
215	7	5	105.58169
245	8	5	88.73799
275	9	5	45.981403
305	10	5	24.826628
335	11	5	25.252234
365	12	5	39.500717
395	13	5	65.67538
425	14	5	66.968704
455	15	5	69.97278
485	16	5	87.144585
515	17	5	27.85064
545	18	5	71.35946
575	19	5	67.95126
605	20	5	113.92149
635	21	5	58.559982
665	22	5	81.29636
695	23	5	38.631836
725	24	5	21.053995
755	25	5	56.624397
785	26	5	111.18653
815	27	5	92.92203
845	28	5	72.88722
875	29	5	75.623314
4	0	4	96.426216
34	1	4	45.709133
64	2	4	25.847364
94	3	4	103.23235
124	4	4	47.81266
154	5	4	47.095596
184	6	4	99.70604
214	7	4	106.91524
244	8	4	27.81802
274	9	4	67.289505
304	10	4	110.352036
334	11	4	51.82276
364	12	4	105.13331
394	13	4	117.90636
424	14	4	46.53129
454	15	4	79.238525
484	16	4	93.798874
514	17	4	56.657005
544	18	4	114.53801
574	19	4	81.83655
604	20	4	88.60704
634	21	4	43.68908
664	22	4	84.57279
694	23	4	84.04942
724	24	4	91.0295
754	25	4	77.35632
784	26	4	106.65532
814	27	4	28.05125
844	28	4	105.28974
874	29	4	25.040213
3	0	3	79.35769
33	1	3	64.48856
63	2	3	112.52249
93	3	3	73.942726
123	4	3	112.30546
153	5	3	36.608643
183	6	3	29.985579
213	7	3	87.87738
243	8	3	100.53325
273	9	3	115.50902
303	10	3	19.234018
333	11	3	51.494946
363	12	3	42.660522
393	13	3	71.085655
423	14	3	101.480606
453	15	3	109.17314
483	16	3	53.75872
513	17	3	88.08805
543	18	3	57.105736
573	19	3	33.182274
603	20	3	80.49495
633	21	3	66.61075
663	22	3	38.43654
693	23	3	54.197113
723	24	3	65.41897
753	25	3	65.36623
783	26	3	52.67454
813	27	3	73.74211
843	28	3	103.18173
873	29	3	110.62926
2	0	2	22.879452
32	1	2	111.75272
62	2	2	35.931915
92	3	2	45.79557
122	4	2	94.3735
152	5	2	104.47562
182	6	2	33.16569
212	7	2	48.252594
242	8	2	58.53337
272	9	2	26.125525
302	10	2	22.13333
332	11	2	58.821827
362	12	2	65.82516
392	13	2	117.11154
422	14	2	32.061386
452	15	2	106.102554
482	16	2	35.03407
512	17	2	77.559555
542	18	2	45.153408
572	19	2	112.21581
602	20	2	116.9548
632	21	2	80.606064
662	22	2	67.58884
692	23	2	33.33816
722	24	2	22.555616
752	25	2	116.11424
782	26	2	80.198875
812	27	2	40.653404
842	28	2	35.569878
872	29	2	108.864975
1	0	1	57.22791
31	1	1	63.80568
61	2	1	113.89328
91	3	1	57.04335
121	4	1	96.46141
151	5	1	87.831665
181	6	1	116.01991
211	7	1	103.770645
241	8	1	43.774544
271	9	1	110.99269
301	10	1	74.64665
331	11	1	92.75307
361	12	1	110.17119
391	13	1	25.396498
421	14	1	38.030132
451	15	1	112.61414
481	16	1	83.533676
511	17	1	108.58134
541	18	1	90.60297
571	19	1	36.645897
601	20	1	104.23416
631	21	1	68.4874
661	22	1	107.23543
691	23	1	84.00562
721	24	1	40.881844
751	25	1	53.398514
781	26	1	371.22083
811	27	1	321.1142
841	28	1	112.97834
871	29	1	55.631233
0	0	0	83.23243
30	1	0	38.15017
60	2	0	107.33902
90	3	0	57.71042
120	4	0	98.189606
150	5	0	81.065254
180	6	0	115.934814
210	7	0	57.443512
240	8	0	97.4843
270	9	0	19.233679
300	10	0	28.80378
330	11	0	85.43511
360	12	0	112.646095
390	13	0	67.617615
420	14	0	40.473717
450	15	0	28.065672
480	16	0	91.92478
510	17	0	94.10522
540	18	0	37.347168
570	19	0	105.562706
600	20	0	92.363106
630	21	0	75.34624
660	22	0	91.322174
690	23	0	114.88699
720	24	0	36.446648
750	25	0	85.96078
780	26	0	336.05096
810	27	0	376.32007
840	28	0	22.708723
870	29	0	45.22879
